No,Timestamp,Jenis_Gangguan,Kondisi_Gangguan,Objek_Uji,Kelas_Prediksi,Confidence_Score_pct,Keterangan
1,2026-06-22 13:45:19,Pencahayaan,Cahaya redup (< 50 lux),Botol plastik,R(100%),99.7,OK
2,2026-06-22 13:46:35,Pencahayaan,Cahaya redup (< 50 lux),Kulit buah,R(99%),99.4,OK
1,2026-06-22 13:48:37,Pencahayaan,Cahaya redup (< 50 lux),Botol plastik,R(100%),99.7,OK
1,2026-06-22 14:18:54,Pencahayaan,Cahaya redup (< 50 lux),Botol plastik,R(99%),99.1,
1,2026-06-22 14:19:27,Pencahayaan,Cahaya redup (< 50 lux),Botol plastik,R(99%),99.0,
1,2026-06-22 14:19:34,Pencahayaan,Cahaya redup (< 50 lux),Botol plastik,R(99%),98.5,
1,2026-06-22 14:19:39,Pencahayaan,Cahaya redup (< 50 lux),Botol plastik,R(99%),98.5,
2,2026-06-22 14:20:49,Pencahayaan,Cahaya redup (< 50 lux),Kulit buah,R(99%),99.5,
2,2026-06-22 14:20:58,Pencahayaan,Cahaya redup (< 50 lux),Kulit buah,R(100%),99.6,
2,2026-06-22 14:21:02,Pencahayaan,Cahaya redup (< 50 lux),Kulit buah,R(99%),99.5,
3,2026-06-22 14:21:42,Pencahayaan,Cahaya sangat terang (> 1000 lux),Botol plastik,R(100%),99.6,
3,2026-06-22 14:21:44,Pencahayaan,Cahaya sangat terang (> 1000 lux),Botol plastik,R(100%),99.7,
3,2026-06-22 14:21:46,Pencahayaan,Cahaya sangat terang (> 1000 lux),Botol plastik,R(100%),99.7,
4,2026-06-22 14:22:00,Pencahayaan,Cahaya sangat terang (> 1000 lux),Kulit buah,R(99%),99.4,
4,2026-06-22 14:22:03,Pencahayaan,Cahaya sangat terang (> 1000 lux),Kulit buah,R(99%),99.5,
4,2026-06-22 14:22:07,Pencahayaan,Cahaya sangat terang (> 1000 lux),Kulit buah,R(99%),99.4,
5,2026-06-22 14:22:59,Pencahayaan,Cahaya dari samping (backlight),Botol plastik,R(100%),99.6,
5,2026-06-22 14:23:02,Pencahayaan,Cahaya dari samping (backlight),Botol plastik,R(100%),99.7,
5,2026-06-22 14:23:06,Pencahayaan,Cahaya dari samping (backlight),Botol plastik,R(100%),99.5,
5,2026-06-22 14:23:20,Pencahayaan,Cahaya dari samping (backlight),Botol plastik,R(99%),99.3,
5,2026-06-22 14:23:22,Pencahayaan,Cahaya dari samping (backlight),Botol plastik,R(99%),99.4,
5,2026-06-22 14:23:24,Pencahayaan,Cahaya dari samping (backlight),Botol plastik,R(99%),99.3,
6,2026-06-22 14:26:02,Latar Belakang,Latar warna gelap,Botol plastik,R(100%),99.9,
6,2026-06-22 14:26:06,Latar Belakang,Latar warna gelap,Botol plastik,R(100%),99.9,
6,2026-06-22 14:26:08,Latar Belakang,Latar warna gelap,Botol plastik,R(100%),99.8,
7,2026-06-22 14:26:22,Latar Belakang,Latar warna gelap,Kulit buah,R(100%),99.8,
7,2026-06-22 14:26:24,Latar Belakang,Latar warna gelap,Kulit buah,R(100%),99.8,
7,2026-06-22 14:26:25,Latar Belakang,Latar warna gelap,Kulit buah,R(100%),99.8,
8,2026-06-22 14:28:53,Latar Belakang,Latar warna terang,Botol plastik,R(100%),99.9,
8,2026-06-22 14:28:57,Latar Belakang,Latar warna terang,Botol plastik,R(100%),99.9,
8,2026-06-22 14:28:58,Latar Belakang,Latar warna terang,Botol plastik,R(100%),99.9,
9,2026-06-22 14:29:11,Latar Belakang,Latar warna terang,Kulit buah,R(91%),91.0,
9,2026-06-22 14:29:14,Latar Belakang,Latar warna terang,Kulit buah,R(91%),91.4,
9,2026-06-22 14:29:18,Latar Belakang,Latar warna terang,Kulit buah,R(92%),91.7,
9,2026-06-22 14:29:27,Latar Belakang,Latar warna terang,Kulit buah,R(99%),99.2,
9,2026-06-22 14:29:30,Latar Belakang,Latar warna terang,Kulit buah,R(99%),98.8,
9,2026-06-22 14:29:31,Latar Belakang,Latar warna terang,Kulit buah,R(99%),98.8,
13,2026-06-22 14:30:27,Posisi Objek,Objek terbalik,Botol plastik,R(100%),100.0,
13,2026-06-22 14:30:30,Posisi Objek,Objek terbalik,Botol plastik,R(100%),100.0,
13,2026-06-22 14:30:31,Posisi Objek,Objek terbalik,Botol plastik,R(100%),100.0,
14,2026-06-22 14:30:55,Posisi Objek,Objek sebagian tertutup,Botol plastik,R(100%),99.5,
14,2026-06-22 14:30:57,Posisi Objek,Objek sebagian tertutup,Botol plastik,R(100%),99.5,
14,2026-06-22 14:30:58,Posisi Objek,Objek sebagian tertutup,Botol plastik,R(99%),99.4,
13,2026-06-22 14:31:09,Posisi Objek,Objek terbalik,Botol plastik,R(99%),99.4,
13,2026-06-22 14:31:10,Posisi Objek,Objek terbalik,Botol plastik,R(99%),99.4,
13,2026-06-22 14:31:11,Posisi Objek,Objek terbalik,Botol plastik,R(99%),99.5,
15,2026-06-22 14:31:23,Multi Objek,2 objek berbeda kelas,Botol + kulit buah,R(100%),99.8,
15,2026-06-22 14:31:26,Multi Objek,2 objek berbeda kelas,Botol + kulit buah,R(100%),99.9,
15,2026-06-22 14:31:28,Multi Objek,2 objek berbeda kelas,Botol + kulit buah,R(100%),99.8,
