timestamp,kelas,kelas_asli,confidence,status
2026-06-16 13:26:12,anorganik,anorganik,0.99,sukses
2026-06-16 13:27:16,anorganik,anorganik,0.76,sukses
2026-06-16 13:27:29,anorganik,anorganik,1.00,sukses
2026-06-16 13:28:09,anorganik,anorganik,0.98,sukses
2026-06-16 13:28:41,none,,0.00,gagal_confidence
2026-06-16 13:30:08,anorganik,anorganik,1.00,sukses
2026-06-16 13:31:02,organik,organik,0.90,sukses
2026-06-16 13:35:48,anorganik,anorganik,1.00,sukses
2026-06-16 14:08:08,anorganik,anorganik,1.00,sukses
2026-06-16 14:09:16,organik,organik,0.97,sukses
2026-06-16 14:10:54,anorganik,anorganik,0.91,sukses
2026-06-16 14:14:10,anorganik,anorganik,1.00,sukses
2026-06-18 14:42:56,RPI-BB102-000001-1781790171804,anorganik,anorganik,0.98,gagal_servo,
2026-06-18 14:43:09,RPI-BB102-000002-1781790184789,organik,organik,0.89,gagal_servo,
2026-06-18 14:44:26,RPI-BB102-000001-1781790261233,anorganik,anorganik,0.98,gagal_servo,
2026-06-18 14:45:27,RPI-BB102-000002-1781790321976,anorganik,anorganik,1.00,gagal_servo,
2026-06-20 05:53:51,anorganik,anorganik,1.00,sukses
2026-06-20 05:54:26,anorganik,anorganik,1.00,sukses
2026-06-20 05:56:51,anorganik,anorganik,1.00,sukses
2026-06-20 06:02:49,anorganik,anorganik,1.00,sukses
2026-06-20 16:26:04,organik,organik,1.00,sukses
2026-06-20 16:41:18,organik,organik,1.00,sukses
2026-06-20 16:42:22,organik,organik,1.00,sukses
2026-06-20 16:42:38,anorganik,anorganik,1.00,sukses
2026-06-20 16:44:30,anorganik,anorganik,1.00,sukses
2026-06-20 16:44:46,organik,organik,1.00,sukses
2026-06-21 03:08:13,organik,organik,1.00,sukses
2026-06-21 03:08:56,none,,0.00,gagal_confidence
2026-06-21 03:09:08,none,,0.00,gagal_confidence
2026-06-21 03:09:13,anorganik,anorganik,0.99,sukses
2026-06-21 04:37:29,none,,0.00,gagal_confidence
2026-06-21 04:37:45,organik,organik,1.00,sukses
2026-06-21 04:37:56,organik,organik,1.00,sukses
2026-06-21 04:38:24,none,,0.00,gagal_confidence
2026-06-21 04:39:04,anorganik,anorganik,1.00,sukses
2026-06-21 07:47:57,anorganik,anorganik,1.00,sukses
2026-06-21 07:48:27,none,,0.00,gagal_confidence
2026-06-21 07:48:56,organik,organik,1.00,sukses
