epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,54.5961,0.24893,0.9268,1,0.19152,0.000331989,0.000331989,0.0671331
2,108.786,0.20093,0.93521,1,0.18803,0.000652149,0.000652149,0.0341199
3,161.59,0.18806,0.94029,1,0.15988,0.000959109,0.000959109,0.00109352
4,213.988,0.18102,0.93388,1,0.19016,0.0009406,0.0009406,0.0009406
5,267.313,0.17251,0.93786,1,0.17664,0.0009208,0.0009208,0.0009208
6,319.611,0.16508,0.94626,1,0.15858,0.000901,0.000901,0.000901
7,372.809,0.15434,0.94759,1,0.1496,0.0008812,0.0008812,0.0008812
8,426.824,0.15002,0.94582,1,0.15785,0.0008614,0.0008614,0.0008614
9,479.937,0.14016,0.95091,1,0.14581,0.0008416,0.0008416,0.0008416
10,533.549,0.1362,0.94693,1,0.15075,0.0008218,0.0008218,0.0008218
11,587.522,0.12681,0.94427,1,0.17042,0.000802,0.000802,0.000802
12,640.726,0.12437,0.95024,1,0.1569,0.0007822,0.0007822,0.0007822
13,693.747,0.12258,0.95555,1,0.13145,0.0007624,0.0007624,0.0007624
14,747.329,0.11441,0.94582,1,0.16216,0.0007426,0.0007426,0.0007426
15,800.215,0.11191,0.94538,1,0.15689,0.0007228,0.0007228,0.0007228
16,853.389,0.10903,0.95444,1,0.13733,0.000703,0.000703,0.000703
17,906.849,0.10132,0.94958,1,0.14308,0.0006832,0.0006832,0.0006832
18,960.415,0.09458,0.92879,1,0.19645,0.0006634,0.0006634,0.0006634
