epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,66.5714,0.23845,0.93592,1,0.17861,0.000332099,0.000332099,0.0671222
2,132.378,0.19239,0.93815,1,0.17006,0.000652257,0.000652257,0.034109
3,198.432,0.19071,0.93835,1,0.17285,0.000959214,0.000959214,0.00108267
4,263.927,0.17878,0.93531,1,0.17573,0.0009406,0.0009406,0.0009406
5,328.261,0.1674,0.93835,1,0.16849,0.0009208,0.0009208,0.0009208
6,393.674,0.15438,0.93409,1,0.21799,0.000901,0.000901,0.000901
7,456.369,0.15293,0.93652,1,0.17402,0.0008812,0.0008812,0.0008812
8,519.772,0.13685,0.94119,1,0.16098,0.0008614,0.0008614,0.0008614
9,585.062,0.14018,0.93815,1,0.17591,0.0008416,0.0008416,0.0008416
10,654.582,0.12563,0.942,1,0.18168,0.0008218,0.0008218,0.0008218
11,721.379,0.12653,0.95052,1,0.16185,0.000802,0.000802,0.000802
12,789.284,0.12079,0.94829,1,0.14907,0.0007822,0.0007822,0.0007822
13,858.623,0.11135,0.94707,1,0.15089,0.0007624,0.0007624,0.0007624
14,928.73,0.10292,0.95052,1,0.15156,0.0007426,0.0007426,0.0007426
15,996.035,0.10032,0.94301,1,0.1724,0.0007228,0.0007228,0.0007228
16,1062.59,0.09502,0.95113,1,0.17433,0.000703,0.000703,0.000703
17,1133.28,0.09559,0.94829,1,0.17017,0.0006832,0.0006832,0.0006832
18,1203.33,0.08875,0.9495,1,0.16891,0.0006634,0.0006634,0.0006634
19,1272.55,0.08848,0.95052,1,0.15033,0.0006436,0.0006436,0.0006436
20,1335.64,0.08156,0.95092,1,0.16056,0.0006238,0.0006238,0.0006238
21,1398.15,0.07901,0.94991,1,0.16791,0.000604,0.000604,0.000604
